status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmtb62iiy000j94iy06vaeu26,Frati,Frati Gift Card,food-delivery,108,,official-page:food-drink | merchant-page:food-drink | page-excerpt:food-drink,food-delivery:108 | corporate-gifts:85,https://www.frati.gr/shop/dora-gift-cards/gift-cards/?srsltid,https://frati.gr
SAFE,cmta5noft000n54iyyotz6yw5,Fuel,Fuel Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110 | jewelry-watches:79 | gaming:73 | sports:72 | books:68,https://www.fuel.com.gr/en/about-gift-cards,https://fuel.com.gr
SAFE,cmta1iast00byq8iyu8sip87d,Gabi,Gift Card - Gabi,kids-baby,118,,merchant-page:kids-baby | page-excerpt:kids-baby,kids-baby:118 | education:80,https://gabi.gr/products/gift-card,https://gabi.gr
SAFE,cmtb62jq0000p94iyt5d2mzss,Ggio,Gift Cards,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://ggio.gr/product-category/gift-cards/,https://ggio.gr
SAFE,cmtb6uqep001u3giya6xdb0l8,Globi,Globi Gift Card,technology,109,,merchant-page:technology | page-excerpt:technology,technology:109 | gaming:73 | books:68,https://globi.gr/product/dwrokarta/,https://globi.gr
SAFE,cmta4yj4g001fsciy0ipo9fb8,Green Leaf,Greenleaf Gift Card,home,112,,official-page:home-living | merchant-page:home-living | page-excerpt:home-living,home:112 | beauty:74,https://green-leaf.gr/en-eu/products/greenleaf-gift-card?srsltid=AfmBOopwgHXrlsvd6QmsnsoLNjyN_0hfM28o8pJTONTgWrAmw-tmRwp4,https://green-leaf.gr
SAFE,cmtb6uqs6001w3giyxb5aq7nl,Groombox,Δωροκάρτα - Groombox,pets,126,,merchant-page:pet-industry | page-excerpt:pet-industry,pets:126,https://groombox.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://groombox.gr
SAFE,cmtb6ur4z001y3giyzx2tgh2i,Happydonkey,Δωροκάρτα,hotels,105,,merchant-page:hotel | page-excerpt:hotel,hotels:105,https://happydonkey.gr/products/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1,https://happydonkey.gr
SAFE,cmta1ifps00ckq8iyi49yyp5r,Hepta,Hepta's eGift Card,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124 | experiences:62,https://www.hepta.gr/giftcard,https://hepta.gr
SAFE,cmtb7i03o000p04iysnqf105v,Herminaathens,Herminaathens Gift Card,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124 | beauty:74 | fashion:70 | experiences:62,https://herminaathens.com/product/gift-card/,https://herminaathens.com
SAFE,cmta1kptg00m8q8iyxikg29yq,Hlcpro,Gift Card Gold – HLC Pro by Health Laser Clinic,health-medical,132,,identity:medical-service,health-medical:132,https://hlcpro.gr/,https://hlcpro.gr
SAFE,cmta1ih5a00coq8iy028nylzo,Hotelshops,e-Gift Card - To Τέλειο δώρο,hotels,110,,official-page:hotel | page-excerpt:hotel,hotels:110 | fashion:70,https://www.hotelshops.gr/el/e-gift-card.html,https://hotelshops.gr
SAFE,cmta4ykx8001lsciyu1m24dqd,Iaso,IASO presents “IASO Gift Card” for Mammography,health-medical,129,,official-page:medical-service | page-excerpt:medical-service,health-medical:129 | education:80 | kids-baby:78 | spa-wellness:77 | books:68,https://www.iaso.gr/en/news/details/2020/10/13/to-iaso-parousiazi-tin-iaso-gift-card-gia-mastografia,https://iaso.gr
SAFE,cmta1iied00cuq8iyft8338to,Inspiral,Gift Cards - Δωροκάρτα,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124,https://www.inspiral.gr/gift-cards,https://inspiral.gr
SAFE,cmta4ylfj001nsciy8jb7e1fk,Irisproject,Gift Card | The Iris Project,home,112,,official-page:home-living | merchant-page:home-living,home:112 | books:68 | experiences:62,https://irisproject.gr/gift-card/,https://irisproject.gr
SAFE,cmtb62l5k000x94iyh8vs7gfk,Ivanacappuccini,Ivanacappuccini Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110 | jewelry-watches:79 | spa-wellness:77 | beauty:74 | technology:69,https://www.ivanacappuccini.gr/product-category/wps_wgm_giftcard/,https://ivanacappuccini.gr
SAFE,cmt8gzro7000114iywjzh5sfg,JD Sports Greece,JD Sports Greece Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110 | automotive:84 | education:80 | travel:64,https://www.jdsports.gr/el/cms/333/gift-cards,https://www.jdsports.gr
SAFE,cmta1f16s000rq8iy7vke82nt,John-Andy,JOHN-ANDY Δωροεπιταγή 20 Ευρώ,fashion,115,,official-page:fashion | merchant-page:fashion | page-excerpt:fashion,fashion:115 | sports:72 | gifts-concept-stores:56,https://www.john-andy.com/,https://john-andy.com
