status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmta4yk9i001isciy8zva7jrw,Hebekidshome,hebekidshome,https://hebekidshome.gr,https://hebekidshome.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:32x32,HEADER_IMAGE,92,https://hebekidshome.gr/cdn/shop/files/Contact_Page_Slideshow_Banner_4.png?v=1716931422&width=840,img:header__heading-logo header__heading-link link link--text focus-inset HEBE KIDS HOME,,,,
REVIEW,cmta1go4c006hq8iyctmnyk3t,Heelshop,heelshop,https://heelshop.gr,https://www.heelshop.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://www.heelshop.gr/assets/website/img/favicon.ico,link rel=shortcut icon,,,,
ERROR,cmta1lbsk00opq8iy6ghmmaan,Hellenictrain,hellenictrain,https://hellenictrain.gr,,PAGE_TIMEOUT,,,,,,,,
REVIEW,cmtb6urdq001z3giyx4g2l4dm,HelloKids,ηλεκτρονικη-δωροκαρτα,https://hellokids.gr,https://www.hellokids.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:32x32,SITE_ICON,139,https://www.hellokids.gr/cdn/shop/files/house_logo_32x32.png?v=1673871286,link rel=icon,,,,
REVIEW,cmta1ifiy00cjq8iy2y5qnddu,Hepta,hepta,https://hepta.gr,https://www.hepta.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404,HEADER_IMAGE,352,https://www.hepta.gr/quality_auto/Site%20transparent%20logo.png,img:gRkIq0 sFiSiq img_comp-kic7ksu2 apPOZK by Hepta Jewellery logo,,,,
ERROR,cmta1fybw0044q8iyqo3h871n,HerbStore,herbstore,https://herbstore.gr,,PAGE_HTTP_403,,,,,,,,
SAFE,cmta1kq4t00m9q8iynfm2daqb,Hobbylobby Yarns,hobbylobby-yarns,https://hobbylobby-yarns.gr,https://www.hobbylobby-yarns.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://www.hobbylobby-yarns.gr/wp-content/uploads/2021/01/logo-118x93.png,img:custom-logo webpexpress-processed custom-logo-link HobbyLobbyyarns Logo,e9a5bdb9a6ad57d20f9bec3818131981d05523945b721952bd33fa3510880fe9,118,93,11061
ERROR,cmt8faz8700056kiyd92fmy9h,HomeMarkt,homemarkt,https://www.homemarkt.gr,,PAGE_HTTP_403,,,,,,,,
ERROR,cmt8fazwh000a6kiymri92mev,Hondos Center,hondos-center,https://www.hondoscenter.com,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmtb77whg0052dkiy9snlz0m5,Houhouliarika,houhouliarika,https://houhouliarika.gr,https://houhouliarika.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:32x32,SITE_ICON,84,https://houhouliarika.gr/image/catalog/favicon.png,link rel=icon,,,,
REVIEW,cmta1ihdj00cpq8iy8h7fdcbs,Hydrowellness,hydrowellness,https://hydrowellness.gr,https://www.hydrowellness.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-45,"https://static.wixstatic.com/media/d60060_ac9826a073ec408584db1c3babffadda~mv2.jpg/v1/fill/w_1209,h_669,al_c/d60060_ac9826a073ec408584db1c3babffadda~mv2.jpg",og:image,,,,
ERROR,cmt79if46000n84iyg23kadng,IKEA,ikea,https://www.ikea.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmta1ii8i00ctq8iysskxlulx,Inspiral,inspiral,https://inspiral.gr,https://www.inspiral.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://www.inspiral.gr/img/layout/favicon.ico,link rel=shortcut icon,,,,
ERROR,cmta1limn00pfq8iyfh50asm9,Instyleshop,instyleshop,https://instyleshop.gr,,PAGE_HTTP_403,,,,,,,,
ERROR,cmta1gong006jq8iy8ppr191d,Intersport,intersport,https://intersport.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmta1fxg20040q8iyzetmsdo8,iQueens,iqueens,https://iqueens.gr,https://www.iqueens.gr/el/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-44,https://static.qns.digital/themes/default-bootstrap/dist/images/favicons/qns/apple-touch-icon.png,link rel=apple-touch-icon,,,,
REVIEW,cmta1ijt600d1q8iyxb82btou,Jonak,jonak,https://jonak.gr,https://www.jonak-paris.com/,WEBSITE_REDIRECTED_TO_DIFFERENT_DOMAIN,,,,,,,,
REVIEW,cmta1n82o00w1q8iyo9230d1u,Kaelego,kaelego,https://kaelego.gr,https://kaelego.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,114,https://kaelego.gr/wp-content/uploads/2024/04/image_2_transparent.png,og:image,,,,
REVIEW,cmta1ks4x00mhq8iydfmn5xou,Kalousos,kalousos,https://kalousos.gr,https://www.kalousos.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,98,https://www.kalousos.gr/storage/infocube_image_cache/1200x630/site-settings/seo_site_og_image/Artboard-9-100.jpg?ext=jpg&v=1307202202,og:image,,,,
SAFE,cmta1gdkt005fq8iygplls487,Kanellopoulos,kanellopoulos,https://kanellopoulos.gr,https://kanellopoulos.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,367,https://kanellopoulos.gr/wp-content/uploads/2025/12/kanel-logo-2023-trans-bg-150x34.png,img:attachment-full size-full wd-logo wd-main-logo Site logo,1c39a6caf23f1072553299dc85e8eb49ab6150e37185bbcd759c7833134695aa,150,34,3784
REVIEW,cmta1lj2s00phq8iymc9sy8cd,Kantarzoglou,kantarzoglou,https://kantarzoglou.gr,https://www.kantarzoglou.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,OG_IMAGE,98,https://www.kantarzoglou.gr/images/z21/z20_1/H001_INDEX.jpg?20210203233143,og:image,,,,
REVIEW,cmt8l5vnt000h5giybb6cc2ff,KIKO,kiko,https://www.kikocosmetics.com,https://www.kikocosmetics.gr/,WEBSITE_REDIRECTED_TO_DIFFERENT_DOMAIN,,,,,,,,
REVIEW,cmta1imn100dbq8iyn4nhj89a,Kikoo,kikoo,https://kikoo.gr,https://kikoo.gr/,NO_AUTO_SAFE_CANDIDATE,JSONLD_LOGO,79,https://kikoo.gr/image/cache/catalog/Banners/kikoo_LOGO-300x155.png,JSON-LD logo property,,,,
REVIEW,cmta1gqn9006rq8iyvkljeqr1,Kosmima24,kosmima24,https://kosmima24.gr,https://www.kosmima24.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:36x36,SITE_ICON,84,https://www.kosmima24.gr/images/favicon.png,link rel=icon,,,,
ERROR,cmtb77x9d0056dkiyajiro2jy,Kosmimamakarezos,kosmimamakarezos,https://kosmimamakarezos.gr,,PAGE_HTTP_503,,,,,,,,
REVIEW,cmta4ypfz0024sciyjcie77zg,Kounelis,kounelis,https://kounelis.com.gr,https://kounelis.com.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:36x36,SITE_ICON,84,https://kounelis.com.gr/media/favicon/default/fav-kounelis.png,link rel=icon,,,,
REVIEW,cmt79ifor000t84iywm22uls1,Kulina,kulina,https://kulina.gr,https://www.kulina.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://www.kulina.gr/favicon.ico,link rel=shortcut icon,,,,
ERROR,cmta1nacs00w9q8iybfp66av1,Lalita,lalita,https://lalita.gr,,fetch failed,,,,,,,,
REVIEW,cmta5nr81001254iy1l0ypsfm,Londonboutique,londonboutique,https://londonboutique.gr,https://www.londonboutique.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-44,https://lb-12648.kxcdn.com/wp-content/uploads/fbrfg/apple-touch-icon.png,link rel=apple-touch-icon,,,,
REVIEW,cmtb78cqm0079dkiyfu94f14d,Lonis Tattoo Studio,lts-gift-card-καρτα-δωρου,https://tattooathens.gr,https://tattooathens.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404,HEADER_IMAGE,263,https://tattooathens.gr/&type=webp,picture:uk-logo Back to home,,,,
NONE,cmta5nrkx001454iy2e3ktvtk,Love It,love-it,https://love-it.gr,https://www.love-it.gr/,NO_LOGO_CANDIDATE,,,,,,,,
REVIEW,cmta1nba500wdq8iyj8n4yj7q,Lucejewelry,lucejewelry,https://lucejewelry.gr,https://www.lucejewelry.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,"https://static.wixstatic.com/media/84c261_36539994e1c64d849787f831293c3153%7Emv2.png/v1/fit/w_2500,h_1330,al_c/84c261_36539994e1c64d849787f831293c3153%7Emv2.png",og:image,,,,
REVIEW,cmta1lx1n00qzq8iyn1ngi4z8,Lurehouse,lurehouse,https://lurehouse.gr,https://www.lurehouse.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://www.lurehouse.gr/assets/website23/favicon.ico,link rel=shortcut icon,,,,
