action,domain,keep_id,duplicate_id,duplicate_name,production_id,production_name,source_name,reason
MARK_DUPLICATE_DISCOVERY,farmakeio4all.gr,cmt8po0dd001tzsiy9d6zcwpu,cmt8po4rt0032zsiy7rk8tdbe,Farmakeio4all,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,farmakeio4all.gr,cmt8po0dd001tzsiy9d6zcwpu,cmt8po8j20044zsiy1xcqgq61,Farmakeio4all,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,funky-buddha.com,,cmt8h2tpa0005yoiywwob052k,Funky Buddha,cmt8hempd0005a8iym064amwx,Funky Buddha,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,galeriedebeaute.gr,,cmt9rr2130007zkiylxmqe3tq,Galerie de Beaute,cmt8henex000aa8iyqbolahxb,Galerie de Beauté,Kouponia365 Gift Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,galeriedebeaute.gr,,cmt8h69x1000ryoiydhkca7jz,Galerie de Beauté,cmt8henex000aa8iyqbolahxb,Galerie de Beauté,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,gctech.gr,cmt8pntx60000zsiyn4w6w8i2,cmt8pnxpl0012zsiyq1hw0jk8,GC-TECH,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,gctech.gr,cmt8pntx60000zsiyn4w6w8i2,cmt8po28w002czsiykzlwb397,GC-TECH,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,germanos.gr,,cmt8e7jk9000078iygu2zqrau,Germanos,cmt8faygb00006kiynlty806o,Germanos,External Search Discovery,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,giftcard.puma.com,cmt9s1r0x0001zwiy70slm5y0,cmt9s1r450002zwiyyv3azs8y,Puma Greece,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,giftcard.puma.com,cmt9s1r0x0001zwiy70slm5y0,cmt9s1qx80000zwiyc67q8y4x,Puma Greece,,,Rediscovery Engine,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,giftcard.sephora.gr,,cmt8e7joy000178iy0xoxjtac,Sephora,cmt8fb4oz000o6kiylq2ujw83,Sephora,External Search Discovery,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,grecotel.com,,cmt8m51js0015xwiyng4yjwgx,Grecotel,cmt8nqyha00050oiyo37488v6,Grecotel,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
